1.99993,1.98953,1.98955,1.98959,1.98963,1.98967,1.98971,1.98975,1.98979,1.98983,1.98987,1.9899,1.98994,1.98997,1.99,1.99003,1.99007,1.99009,1.99012,1.99015,1.99018,1.9902,1.99022,1.99025,1.99027,1.99029,1.9903,1.99032,1.99034,1.99035,1.99037,1.99038,1.99039,1.9904,1.99041,1.99042,1.99042,1.99043,1.99043,1.99044,1.99044,1.99044,1.99044,1.99044,1.99043,1.99043,1.99042,1.99042,1.99041,1.9904,1.99039,1.99038,1.99037,1.99035,1.99034,1.99032,1.9903,1.99028,1.99026,1.99024,1.99022,1.9902,1.99017,1.99015,1.99012,1.99009,1.99006,1.99003,1.99,1.98996,1.98992,1.98989,1.98984,1.9898,1.98974,1.98968,1.98958,1.98939,1.98886,1.99417,1.99994,
0.0191169,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00295285,0.00448714,0.00565659,0.00665663,0.00755508,0.0083849,0.00916497,0.00990725,0.0106199,0.0113086,0.0119779,0.0126309,0.0132703,0.0138982,0.0145163,0.0151259,0.0157284,0.0163247,0.0169158,0.0175023,0.018085,0.0186644,0.0192411,0.0198155,0.0203879,0.0209587,0.0215279,0.0220958,0.0226622,0.0232272,0.0237904,0.0243516,0.0249104,0.0254667,0.0260204,0.0265716,0.0271662,0.0239681,0.0183319,
0.0189962,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00295864,0.00450603,0.00568305,0.00668843,0.00759093,0.00842389,0.00920639,0.00995055,0.0106646,0.0113544,0.0120243,0.0126776,0.013317,0.0139446,0.0145621,0.0151709,0.0157723,0.0163673,0.0169567,0.0175414,0.018122,0.0186991,0.0192732,0.0198447,0.020414,0.0209814,0.0215471,0.0221112,0.0226738,0.0232349,0.0237944,0.0243522,0.0249083,0.0254625,0.0260153,0.0265666,0.0271628,0.0239247,0.0182054,
0.0188732,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.0029627,0.00452333,0.00570789,0.00671856,0.00762503,0.00846105,0.00924592,0.0099919,0.0107073,0.011398,0.0120684,0.012722,0.0133613,0.0139885,0.0146053,0.0152133,0.0158135,0.016407,0.0169948,0.0175775,0.018156,0.0187307,0.0193021,0.0198708,0.020437,0.0210011,0.0215633,0.0221239,0.0226829,0.0232404,0.0237964,0.0243511,0.0249045,0.0254567,0.026008,0.0265587,0.0271554,0.0238774,0.0180761,
0.0187479,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.0029651,0.00453913,0.00573119,0.0067471,0.00765747,0.00849649,0.00928367,0.0100314,0.010748,0.0114396,0.0121105,0.0127642,0.0134034,0.0140302,0.0146463,0.0152532,0.0158521,0.0164442,0.0170302,0.0176109,0.0181871,0.0187594,0.0193281,0.0198939,0.020457,0.0210179,0.0215767,0.0221338,0.0226893,0.0232434,0.0237961,0.0243478,0.0248984,0.0254484,0.025998,0.0265474,0.0271437,0.0238263,0.0179443,
0.0186203,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00296589,0.00455349,0.00575304,0.00677413,0.00768836,0.00853032,0.00931975,0.0100692,0.010787,0.0114794,0.0121508,0.0128045,0.0134435,0.0140697,0.014685,0.0152909,0.0158885,0.0164789,0.0170631,0.0176418,0.0182157,0.0187854,0.0193514,0.0199142,0.0204743,0.0210319,0.0215874,0.022141,0.0226931,0.0232437,0.0237932,0.0243418,0.0248896,0.0254371,0.0259846,0.0265322,0.0271275,0.0237715,0.0178101,
0.0184902,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00296512,0.00456649,0.00577354,0.00679978,0.00771782,0.00856267,0.0093543,0.0101053,0.0108244,0.0115175,0.0121892,0.012843,0.0134817,0.0141073,0.0147218,0.0153264,0.0159226,0.0165114,0.0170937,0.0176702,0.0182418,0.0188089,0.0193721,0.019932,0.0204889,0.0210432,0.0215954,0.0221456,0.0226941,0.0232414,0.0237875,0.0243329,0.0248777,0.0254224,0.0259674,0.0265128,0.0271065,0.0237131,0.0176737,
0.0183576,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00296288,0.00457823,0.00579277,0.00682413,0.00774595,0.00859365,0.00938744,0.0101401,0.0108602,0.011554,0.0122261,0.0128799,0.0135182,0.0141432,0.0147567,0.0153601,0.0159549,0.0165419,0.0171222,0.0176965,0.0182656,0.0188301,0.0193904,0.0199473,0.020501,0.021052,0.0216007,0.0221474,0.0226924,0.0232361,0.0237788,0.0243208,0.0248625,0.0254042,0.0259463,0.026489,0.0270805,0.023651,0.0175351,
0.0182224,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00295923,0.00458879,0.00581085,0.00684732,0.00777288,0.00862341,0.00941933,0.0101735,0.0108947,0.0115892,0.0122615,0.0129153,0.0135532,0.0141774,0.0147899,0.0153921,0.0159853,0.0165705,0.0171487,0.0177208,0.0182873,0.0188491,0.0194065,0.0199602,0.0205107,0.0210583,0.0216034,0.0221465,0.0226879,0.023228,0.023767,0.0243055,0.0248437,0.025382,0.025921,0.0264606,0.0270496,0.0235851,0.0173944,
0.0180847,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00295426,0.00459826,0.00582788,0.00686945,0.00779875,0.00865208,0.0094501,0.0102058,0.0109281,0.0116232,0.0122958,0.0129494,0.0135868,0.0142103,0.0148218,0.0154226,0.0160142,0.0165975,0.0171736,0.0177432,0.0183072,0.0188661,0.0194205,0.019971,0.020518,0.0210621,0.0216036,0.022143,0.0226806,0.0232168,0.0237521,0.0242867,0.0248212,0.0253559,0.0258913,0.0264275,0.0270136,0.0235155,0.0172516,
0.0179442,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,0.00294804,0.00460677,0.00584399,0.00689066,0.00782368,0.00867981,0.00947991,0.0102372,0.0109605,0.0116561,0.0123289,0.0129824,0.0136193,0.014242,0.0148524,0.0154518,0.0160417,0.0166231,0.0171969,0.0177641,0.0183253,0.0188813,0.0194326,0.0199797,0.0205233,0.0210637,0.0216014,0.0221368,0.0226705,0.0232027,0.0237339,0.0242645,0.024795,0.0253258,0.0258573,0.0263896,0.0269724,0.0234422,0.0171068,
