-nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
6.02185e+141,5.51687e+141,5.1126e+141,4.66225e+141,4.1585e+141,3.58777e+141,2.92167e+141,2.08459e+141,5.97439e+140,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,8.68496e+140,1.81818e+141,2.41151e+141,2.87304e+141,3.25529e+141,3.58057e+141,3.86083e+141,4.10335e+141,4.31302e+141,4.4934e+141,4.64719e+141,4.77658e+141,4.88341e+141,4.96927e+141,5.03559e+141,5.08369e+141,5.11477e+141,5.12998e+141,5.13042e+141,5.11715e+141,5.09116e+141,5.05345e+141,5.00498e+141,4.94666e+141,4.8794e+141,4.80409e+141,4.72157e+141,4.63266e+141,4.53818e+141,4.43889e+141,4.33554e+141,4.22885e+141,4.11948e+141,4.00809e+141,3.8953e+141,3.78167e+141,3.66773e+141,3.55396e+141,3.44081e+141,3.32867e+141,3.21787e+141,3.10868e+141,3.00133e+141,2.89598e+141,2.79271e+141,2.69153e+141,2.5924e+141,2.49518e+141,2.39965e+141,2.30549e+141,2.0843e+141,
6.67637e+141,6.15553e+141,5.73717e+141,5.27245e+141,4.75568e+141,4.17659e+141,3.51503e+141,2.72451e+141,1.64749e+141,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1.10408e+141,2.02886e+141,2.63945e+141,3.12039e+141,3.52092e+141,3.86275e+141,4.15771e+141,4.41312e+141,4.63395e+141,4.82383e+141,4.98555e+141,5.12139e+141,5.23326e+141,5.32284e+141,5.39163e+141,5.44103e+141,5.47231e+141,5.48671e+141,5.48538e+141,5.46946e+141,5.44003e+141,5.39814e+141,5.34481e+141,5.28105e+141,5.20782e+141,5.12607e+141,5.03672e+141,4.94065e+141,4.83874e+141,4.73182e+141,4.62069e+141,4.50613e+141,4.38888e+141,4.26964e+141,4.14909e+141,4.02785e+141,3.9065e+141,3.78559e+141,3.66559e+141,3.54695e+141,3.43005e+141,3.3152e+141,3.20268e+141,3.09268e+141,2.98533e+141,2.88067e+141,2.7787e+141,2.67931e+141,2.58233e+141,2.48747e+141,2.26972e+141,
7.35439e+141,6.81543e+141,6.38073e+141,5.89862e+141,5.36456e+141,4.77048e+141,4.10103e+141,3.32366e+141,2.35009e+141,5.67038e+140,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1.35045e+141,2.2581e+141,2.88458e+141,3.38388e+141,3.80188e+141,4.15956e+141,4.46857e+141,4.73625e+141,4.96762e+141,5.16637e+141,5.33539e+141,5.47702e+141,5.59326e+141,5.68588e+141,5.75645e+141,5.80644e+141,5.83722e+141,5.85008e+141,5.84628e+141,5.82701e+141,5.79343e+141,5.74666e+141,5.6878e+141,5.61792e+141,5.53806e+141,5.44923e+141,5.35242e+141,5.24858e+141,5.13865e+141,5.02353e+141,4.90408e+141,4.78115e+141,4.65554e+141,4.52801e+141,4.39929e+141,4.27006e+141,4.14096e+141,4.01259e+141,3.88548e+141,3.76013e+141,3.63696e+141,3.51633e+141,3.39856e+141,3.28389e+141,3.17247e+141,3.0644e+141,2.9597e+141,2.8583e+141,2.76006e+141,2.66474e+141,2.45119e+141,
8.05858e+141,7.49919e+141,7.04589e+141,6.54352e+141,5.98843e+141,5.37402e+141,4.68807e+141,3.90585e+141,2.96792e+141,1.65071e+141,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1.61161e+141,2.50747e+141,3.14884e+141,3.6656e+141,4.10032e+141,4.47318e+141,4.79562e+141,5.07494e+141,5.31621e+141,5.52318e+141,5.69881e+141,5.84553e+141,5.96542e+141,6.06033e+141,6.13192e+141,6.18173e+141,6.21123e+141,6.22178e+141,6.21471e+141,6.1913e+141,6.15279e+141,6.10036e+141,6.0352e+141,5.95844e+141,5.8712e+141,5.77456e+141,5.66958e+141,5.55728e+141,5.43866e+141,5.31469e+141,5.18631e+141,5.05442e+141,4.91988e+141,4.78352e+141,4.64613e+141,4.50846e+141,4.3712e+141,4.235e+141,4.10046e+141,3.9681e+141,3.83843e+141,3.71184e+141,3.58868e+141,3.46925e+141,3.35374e+141,3.24228e+141,3.13493e+141,3.03165e+141,2.93233e+141,2.83675e+141,2.6282e+141,
8.79182e+141,8.20956e+141,7.73536e+141,7.20992e+141,6.63023e+141,5.99084e+141,5.28164e+141,4.48277e+141,3.5498e+141,2.34895e+141,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1.8905e+141,2.7786e+141,3.43413e+141,3.96759e+141,4.41836e+141,4.80577e+141,5.14101e+141,5.43133e+141,5.68182e+141,5.89631e+141,6.07782e+141,6.22887e+141,6.35162e+141,6.448e+141,6.51978e+141,6.56857e+141,6.59593e+141,6.6033e+141,6.5921e+141,6.56368e+141,6.51936e+141,6.46042e+141,6.3881e+141,6.30362e+141,6.20817e+141,6.1029e+141,5.98895e+141,5.86741e+141,5.73935e+141,5.60581e+141,5.46778e+141,5.32625e+141,5.18215e+141,5.03636e+141,4.88974e+141,4.74309e+141,4.59718e+141,4.45271e+141,4.31033e+141,4.17064e+141,4.03416e+141,3.90137e+141,3.77265e+141,3.64833e+141,3.52867e+141,3.41381e+141,3.30385e+141,3.19879e+141,3.09854e+141,3.00292e+141,2.8002e+141,
9.55717e+141,8.94948e+141,8.45197e+141,7.90057e+141,7.29282e+141,6.6241e+141,5.88584e+141,5.06141e+141,4.11525e+141,2.95264e+141,1.03772e+141,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,3.43894e+140,2.18969e+141,3.07328e+141,3.74245e+141,4.29196e+141,4.75815e+141,5.15947e+141,5.50686e+141,5.8075e+141,6.06651e+141,6.28775e+141,6.47435e+141,6.62889e+141,6.75364e+141,6.85062e+141,6.92167e+141,6.96852e+141,6.99279e+141,6.99603e+141,6.97974e+141,6.94536e+141,6.89428e+141,6.82788e+141,6.74746e+141,6.65433e+141,6.54976e+141,6.43497e+141,6.31117e+141,6.17953e+141,6.04119e+141,5.89726e+141,5.74881e+141,5.5969e+141,5.4425e+141,5.2866e+141,5.1301e+141,4.97388e+141,4.81876e+141,4.66551e+141,4.51484e+141,4.3674e+141,4.22377e+141,4.08448e+141,3.94997e+141,3.82061e+141,3.69667e+141,3.57838e+141,3.46584e+141,3.35908e+141,3.25805e+141,3.16258e+141,2.96658e+141,
1.03579e+142,9.72206e+141,9.19872e+141,8.61837e+141,7.979e+141,7.2767e+141,6.50402e+141,5.64659e+141,4.6745e+141,3.51386e+141,1.87149e+141,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1.03147e+141,2.51166e+141,3.3934e+141,4.07588e+141,4.64085e+141,5.12184e+141,5.53644e+141,5.8953e+141,6.20554e+141,6.47228e+141,6.69946e+141,6.89027e+141,7.04741e+141,7.17322e+141,7.26982e+141,7.33915e+141,7.38304e+141,7.4032e+141,7.40128e+141,7.37886e+141,7.33748e+141,7.2786e+141,7.2037e+141,7.11416e+141,7.01137e+141,6.89667e+141,6.77137e+141,6.63676e+141,6.49408e+141,6.34454e+141,6.18933e+141,6.0296e+141,5.86647e+141,5.70099e+141,5.53422e+141,5.36712e+141,5.20065e+141,5.0357e+141,4.87309e+141,4.7136e+141,4.55795e+141,4.40677e+141,4.26065e+141,4.12007e+141,3.98544e+141,3.85711e+141,3.73531e+141,3.62019e+141,3.51181e+141,3.41013e+141,3.31501e+141,3.12666e+141,
1.11977e+142,1.05307e+142,9.97878e+141,9.36631e+141,8.69165e+141,7.95144e+141,7.13914e+141,6.24198e+141,5.23383e+141,4.05313e+141,2.4938e+141,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1.51547e+141,2.85886e+141,3.74106e+141,4.4366e+141,5.01649e+141,5.51167e+141,5.93888e+141,6.30848e+141,6.62753e+141,6.90116e+141,7.13338e+141,7.32746e+141,7.4862e+141,7.61203e+141,7.7072e+141,7.77373e+141,7.81355e+141,7.82849e+141,7.82028e+141,7.7906e+141,7.74107e+141,7.67328e+141,7.58875e+141,7.48898e+141,7.37543e+141,7.24952e+141,7.11265e+141,6.96618e+141,6.81142e+141,6.64969e+141,6.48223e+141,6.31027e+141,6.135e+141,5.95757e+141,5.77909e+141,5.6006e+141,5.42314e+141,5.24765e+141,5.07504e+141,4.90616e+141,4.74177e+141,4.58258e+141,4.42923e+141,4.28226e+141,4.14213e+141,4.00923e+141,3.88382e+141,3.7661e+141,3.65616e+141,3.55397e+141,3.45941e+141,3.27973e+141,
1.20802e+142,1.13789e+142,1.07956e+142,1.01476e+142,9.43373e+141,8.65114e+141,7.79395e+141,6.85061e+141,5.79754e+141,4.58095e+141,3.03796e+141,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,1.96917e+141,3.23386e+141,4.11847e+141,4.82691e+141,5.42121e+141,5.92994e+141,6.36904e+141,6.7486e+141,7.07559e+141,7.35519e+141,7.59146e+141,7.78777e+141,7.94701e+141,8.07175e+141,8.16432e+141,8.22686e+141,8.26142e+141,8.26992e+141,8.25419e+141,8.21603e+141,8.15714e+141,8.07921e+141,7.98385e+141,7.87264e+141,7.74714e+141,7.60885e+141,7.45926e+141,7.29979e+141,7.13186e+141,6.95684e+141,6.77607e+141,6.59086e+141,6.40247e+141,6.21212e+141,6.02101e+141,5.83027e+141,5.64099e+141,5.4542e+141,5.27088e+141,5.09194e+141,4.91823e+141,4.75052e+141,4.5895e+141,4.43578e+141,4.28986e+141,4.15218e+141,4.02306e+141,3.90271e+141,3.79125e+141,3.68868e+141,3.5949e+141,3.425e+141,
1.30097e+142,1.22708e+142,1.16528e+142,1.09656e+142,1.02084e+142,9.37864e+141,8.47112e+141,7.47514e+141,6.36887e+141,5.10348e+141,3.54032e+141,4.54535e+140,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,-nan,2.42497e+141,3.63937e+141,4.52808e+141,5.24925e+141,5.85745e+141,6.37905e+141,6.82927e+141,7.21791e+141,7.5519e+141,7.83643e+141,8.07566e+141,8.27305e+141,8.43161e+141,8.55402e+141,8.64272e+141,8.69999e+141,8.72798e+141,8.72872e+141,8.70416e+141,8.65619e+141,8.58662e+141,8.49723e+141,8.38973e+141,8.2658e+141,8.12707e+141,7.97515e+141,7.81158e+141,7.6379e+141,7.45559e+141,7.26612e+141,7.0709e+141,6.87133e+141,6.66874e+141,6.46444e+141,6.25971e+141,6.05576e+141,5.85376e+141,5.65483e+141,5.46002e+141,5.27031e+141,5.08664e+141,4.90983e+141,4.74065e+141,4.57976e+141,4.42773e+141,4.28505e+141,4.15206e+141,4.02904e+141,3.91611e+141,3.8133e+141,3.72052e+141,3.56159e+141,
